web-scraper-order,web-scraper-start-url,skilllane_link,skilllane_link-href,names,comments,stars
1666011761-459,https://www.skilllane.com/courses/all,"Git + GitHub สำหรับนักพัฒนาโปรแกรมนคร สินผดุงนครโค้ด สอนเขียนโปรแกรมมีประกาศนียบัตร1,490 บาท",https://www.skilllane.com/courses/nakorncode-git,by Pzz pzz,,4
1666011761-460,https://www.skilllane.com/courses/all,"Git + GitHub สำหรับนักพัฒนาโปรแกรมนคร สินผดุงนครโค้ด สอนเขียนโปรแกรมมีประกาศนียบัตร1,490 บาท",https://www.skilllane.com/courses/nakorncode-git,by Korapat Sueb-in,,5
1666011761-461,https://www.skilllane.com/courses/all,"Git + GitHub สำหรับนักพัฒนาโปรแกรมนคร สินผดุงนครโค้ด สอนเขียนโปรแกรมมีประกาศนียบัตร1,490 บาท",https://www.skilllane.com/courses/nakorncode-git,by Noraphat Chatthin,,5
1666011761-462,https://www.skilllane.com/courses/all,"Git + GitHub สำหรับนักพัฒนาโปรแกรมนคร สินผดุงนครโค้ด สอนเขียนโปรแกรมมีประกาศนียบัตร1,490 บาท",https://www.skilllane.com/courses/nakorncode-git,by บงกช ชัยวารี,,5
1666011761-463,https://www.skilllane.com/courses/all,"Git + GitHub สำหรับนักพัฒนาโปรแกรมนคร สินผดุงนครโค้ด สอนเขียนโปรแกรมมีประกาศนียบัตร1,490 บาท",https://www.skilllane.com/courses/nakorncode-git,by Thapat Pajongwong,,5
1666011772-464,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by นางสาวศรีประภา แก้วคันโท,,5
1666011772-465,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by suraphol thongphet,น้ำเสียงคำพูดการสื่อสารชัดเจนเข้าใจง่ายดีมากครับ,5
1666011772-466,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by รัตนศาสตร์ สิทธิวงศ์,,5
1666011772-467,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by Thossaphon Koonpol,,5
1666011772-468,https://www.skilllane.com/courses/all,"Super Leader Super Coaching - สุดยอดผู้นำวิถีโค้ชเรวดี สุขสราญรมย์ (โค้ชพี่น้อย)อดีตผู้บริหารของบริษัทการค้าระหว่างประเทศ ประสบการณ์ในการทำงานกว่า
20 ปีมีประกาศนียบัตร1,990 บาท3,490 บาท",https://www.skilllane.com/courses/Super-Leader-Super-Coaching,by ไชยยา รักษ์พงษ์สิริ,,5
